,probe_1,probe_2,probe_3,probe_4,probe_5,probe_6,probe_7,probe_8,probe_9,probe_10,probe_11,probe_12,probe_13,probe_14,probe_15,probe_16,probe_17,probe_18,probe_19,probe_20,probe_21,probe_22,probe_23,probe_24,probe_25,probe_26,probe_27,probe_28,probe_29,probe_30,probe_31,probe_32,probe_33,probe_34,probe_35,probe_36,probe_37,probe_38,probe_39,probe_40,probe_41,probe_42,probe_43,probe_44,probe_45,probe_46,probe_47,probe_48,probe_49,probe_50
sample_1,37.454011884736246,60.75448519014384,38.8677289689482,11.959424593830171,80.74401551640625,90.82658859666537,34.10663510502585,54.87337893665861,94.04585843529144,80.93611554785136,5.16817211686077,35.597267865126156,38.816992620652194,99.05051420006733,79.15790437258485,77.71469159274368,62.93986381352625,61.34151959357899,95.40510272587224,51.39894891598108,16.893506307216455,71.33495858845524,35.60967258978462,32.367923640424365,93.83404568210378,11.689804070836407,69.39484444671,98.48411989623345,1.3094456588333636,37.330931627975296,20.78862551460273,13.935607407282413,8.279866792512646,79.94158789689793,69.742026724684,87.47016726841994,78.6345014415552,81.58331249906178,82.46809659251491,61.69269183757422,75.82631959290225,89.40992036791344,26.899340443509768,39.69232762015961,24.710323401014644,86.70314961224486,16.352387258502276,20.584121003676824,96.99120461072704,56.70162609866678
sample_2,95.07143064099162,17.052412368729154,27.134903177389592,71.3244787222995,89.60912999234932,23.95618906669724,11.347352124058908,69.18951976926932,95.39285770025873,81.01133946791808,53.1354631568148,75.78461104643691,64.32882184423532,41.26176769114265,78.96181427945538,55.840424973580504,69.57486889846172,41.82430362906189,60.617463445088006,78.3653012741143,27.85903390319586,89.52068376871993,98.65152487929797,42.54364386164168,18.123306616566015,93.98321236134751,54.27244433475962,83.88980864459342,66.35373720167107,27.074467314355378,2.6532203873819715,83.4930236799299,60.31521094663882,69.46964708544267,29.734900737255078,52.8937134027212,8.94110023122595,22.444057183666068,34.780920790219305,98.11861780274235,2.458691645880151,22.995460589108617,79.75591006371882,13.271575404306034,15.954468011318834,57.86754085723934,39.10815366517607,11.191961939772789,9.39007157894184,73.84492092513266
sample_3,73.1993941811405,6.505159298527952,82.87375091519293,76.07850486168974,31.800347497186387,14.48948720912231,92.46936182785628,65.19612595026005,91.48643902204485,86.70723185801037,54.06351216101065,1.4393488629755868,45.825289049151664,37.201808579278314,9.120610304869036,42.42220092469763,45.454106476777326,93.27284833540132,22.864280550346272,39.65427823212701,17.70104842767468,51.167744211566614,60.577481935688716,50.7610378684455,6.6496267366777495,62.770805307141785,25.179905890695274,12.466268120326685,17.803596686975144,64.39995432390158,18.143543508979732,98.44021807035521,24.534910968132095,27.21451372299627,92.43961953765304,93.90676985128962,41.75807757849284,22.38176148226231,67.80161525590636,63.18135270166684,2.2123551528997254,21.31047040250833,31.036195892357377,56.75408482615582,87.17835665922017,43.86154191895905,96.94123223352875,26.974961151698963,67.26021182251263,87.8515561301348
sample_4,59.86584841970366,94.88855372533332,35.67533266935893,56.127719756949624,11.005192452767677,48.9452760277563,87.7339353380981,22.42693094605598,37.01587002554444,91.32405525564712,63.742990149820656,11.607264050691624,54.56167893159349,77.64129607419969,49.442030470258146,90.6354385094736,62.75580800840635,86.60638895004084,67.17006844058567,62.20867002278735,8.87025337570556,53.211348526531566,23.72267917359945,24.240973241508023,74.11206492900591,33.49056146570861,34.56959935039195,92.08418826173724,96.10703174694551,40.87341710980964,58.304156096969216,52.56901823026858,38.929561404197656,59.023066686908706,97.10582451653677,79.87832357736654,87.91183075621647,53.69744228934136,56.5731963995791,25.98035810641598,32.36102191495412,3.113408288451136,45.52201490818012,68.94649691372658,21.92139873580443,72.52576604151365,25.813343270112753,5.708685608931486,44.375021930457116,40.4140321651033
sample_5,15.601864044243651,96.56320330745594,28.093450968738075,77.0967179954561,22.793516254194166,98.56504541106007,25.79416277151556,71.2179221347536,1.5456616528867428,51.13423988609378,72.60913337226616,4.600264202175275,94.14648087765252,34.08035402530179,5.755876001664428,11.119748230615134,58.43143119231002,4.521867010618941,61.81282404578958,86.23637087467452,12.06358711006008,10.717201133977605,10.178247262040374,11.483682473920354,57.44731131799119,13.927207266338726,18.159771680142565,86.98963620621282,14.866272775311295,2.538635566034486,42.1424550592498,17.16792858483035,28.869373677069987,36.09738969400268,94.42664891134339,99.79341105333374,94.47320222914102,59.293993484170315,26.70282701694213,63.40057030996113,48.864319040466576,65.1666825375885,1.1620539908100636,80.05866991090829,97.58652558191314,48.666894142470284,65.67366645412922,53.1169528001032,86.81422543775054,32.70331615632387
sample_6,15.599452033620265,80.83973481164611,54.26960831582485,49.379559636439076,42.71077886262563,24.20552715115004,65.99840460341791,23.724908749680008,92.83185625877253,50.15162946871996,97.58520794625346,4.072880231897013,38.610263780077425,93.07573256035647,54.95288823237355,49.262510429085914,90.11580104909889,2.6366974497252005,35.81627180328405,94.9520623657642,46.077876803272574,44.741236682345466,15.285913918433202,61.06200424416326,84.1828776758272,79.4025189270296,90.84505613336283,51.88380571260721,41.462412372702374,15.615259736619036,89.26717110769748,27.230732651936897,35.567271646494916,9.158207332663416,47.42142166574638,35.071181545171015,46.74015112498697,58.00862078378112,87.8629986355158,53.99853797158555,77.04074178077931,36.852634372376116,7.244688779455888,20.01502442448101,33.68957917711069,87.34232380816606,32.51900642246949,93.66056922949615,17.71497894473859,66.75933855635847
sample_7,5.8083612168199465,30.46137691733707,14.092422497476264,52.27328293819941,81.80147659224932,67.21355474058785,81.72222002012158,32.539969815926774,42.81841483173143,79.82951789667752,51.630034830119534,85.54605840110072,96.11905638239142,85.84127518430118,44.1530501373377,1.1353644767419069,4.5446380341457875,37.64633668780496,11.355759219962902,14.707348092903793,20.63337184057925,53.261726645502314,24.595772838450813,28.863055324025577,13.97723766262895,62.00727559285135,58.339179476612046,59.127543574492925,8.534966807864386,71.59722288473975,81.7443561738441,1.8390676547466733,71.90459051842456,91.73135754622427,86.20426509893134,76.71882889311269,61.34113892107077,9.148683739775487,79.74260216069281,77.98453951511436,68.32953766065052,86.4358249839637,39.24935564066848,16.748258225906977,18.211791568869927,90.07018640112585,77.34731256866006,3.9343540668509647,69.26259522261645,80.78459419412586
sample_8,86.61761457749351,9.767211400638388,80.21969807540397,42.75410183585496,86.07305832563435,76.16196153287176,55.52008115994623,74.64914051180241,96.66548190436696,64.99639307777652,32.2956472941246,70.36578593800236,90.53506419560637,42.89940273750184,88.77041827582998,46.86606419941263,28.096318959223034,81.0553330781833,67.15731955927996,92.65876251614944,36.42698610480755,24.247050363472965,16.06813732595557,58.123822142261226,79.52673118598902,53.34610919763215,40.08514167636399,39.90027038701302,99.68742518459473,65.89239419101514,34.1817351697876,91.4298806560499,29.7121715623175,13.68186309189614,84.45493985350704,40.193091360924214,16.70339460920752,87.74608626303804,65.84518346584255,10.698063882695841,44.590270637674834,47.32099066915572,47.99388347171235,10.456784033440025,78.96985071424791,42.17209268734554,13.087366071834982,12.21099140100268,83.81152896481102,76.22851347766158
sample_9,60.11150117432088,68.42330265121569,7.455064367977082,2.541912674409519,0.6952130531190703,23.763754399239968,52.965057835600646,64.96328990472146,96.36199770892529,70.19668772577033,79.51861947687037,47.41738290873252,19.579113478929642,75.08710677914974,35.09150125520787,5.630327568183735,95.04114840765587,98.72761293149445,52.03077009037933,49.21162930795382,50.34172708548569,26.924323094938096,18.656702405130577,15.436271527420232,20.162732004774455,89.38925830509577,46.20058036441327,5.476163882203133,50.21950103312426,2.709599250348349,25.94234334312925,11.775108289014113,56.64046402968972,95.02373538208025,31.910047324325564,47.98756203039088,99.11686261369765,26.560004258870606,85.05817290942419,76.1027902502028,27.362666628166586,96.81934279147217,60.00205481193037,63.64302495436367,65.87077755008761,27.682779723505156,96.98210450785447,45.21990282834353,94.46142194740233,79.78136488586345
sample_10,70.80725777960456,44.01524937396013,98.68869366005173,10.789142699330444,51.07473025775657,72.82163486118596,24.18522909004517,84.9223410494178,85.300945546736,79.57926694361011,27.083225126207424,9.783416065100148,6.9361300875165455,75.45428740846823,11.706701642760587,11.881791626807193,89.02637838909163,15.041689110352818,77.23183917356393,25.824438829895836,69.03948286293652,37.728416310462265,28.50951686938471,48.114010185481746,16.36559428657045,78.85972112245308,94.72833396118153,33.519724164590095,59.53850173200438,22.197216193294945,37.96924081672669,57.651647551425356,47.60504021990997,44.600577295795574,82.89154741506773,62.75054632183701,23.16717013834434,12.951492128280417,86.72942009598023,54.12665786761103,99.71245001577111,18.552551570312115,29.166257870930323,70.64757264869012,49.8195716453139,59.23503285933622,45.37895413836392,93.38750175279048,68.32480282896458,43.5583314812933
